2018-10-1,花蓮市,冬瓜 白皮,30.0,28.4,24.8,28.0,250.0
2018-10-1,花蓮市,胡瓜 改良種,32.8,27.7,15.6,26.3,1046.0
2018-10-1,花蓮市,青蔥 日蔥,32.9,27.3,20.2,27.0,490.5
2018-10-1,花蓮市,芋 檳榔心芋,34.8,31.0,15.4,28.7,1766.0
2018-10-1,花蓮市,絲瓜,35.0,28.8,20.4,28.3,2333.0
2018-10-1,花蓮市,蕨菜 過貓,35.4,27.5,21.0,27.8,124.5
2018-10-1,花蓮市,茄子 麻荸茄,37.4,30.4,22.3,30.2,2067.0
2018-10-1,花蓮市,青蔥 北蔥,37.5,29.0,25.0,29.9,137.0
2018-10-1,花蓮市,花胡瓜,40.0,33.3,21.9,32.4,1939.0
2018-10-1,花蓮市,薑 嫩薑,42.0,37.7,17.2,34.4,399.0
2018-10-1,花蓮市,菜豆 青色,42.4,36.5,28.8,36.1,630.0
2018-10-1,花蓮市,甘藍 初秋,44.8,38.2,30.2,37.9,1273.0
2018-10-1,花蓮市,芋 里芋,45.0,40.7,37.9,41.0,1050.0
2018-10-1,花蓮市,番茄 黑柿,50.0,41.5,33.0,41.5,1283.0
2018-10-1,花蓮市,包心白 成功白,53.4,47.4,33.6,45.8,2172.5
2018-10-1,花蓮市,紅鳳菜 紅鳳菜,55.0,55.0,55.0,55.0,70.5
2018-10-1,花蓮市,甘藍 改良尖,56.0,55.4,37.7,52.0,1456.0
2018-10-1,花蓮市,甘藍 甜甘藍,56.0,54.0,42.1,52.0,1703.0
2018-10-1,花蓮市,韭菜 白頭,60.0,56.5,54.0,56.7,100.0
2018-10-1,花蓮市,蓮藕,60.0,45.5,19.3,43.2,135.0
2018-10-1,花蓮市,玉米 玉米筍,60.0,33.3,12.0,34.4,216.5
2018-10-1,花蓮市,黃秋葵,60.6,36.9,14.0,37.0,194.0
2018-10-1,花蓮市,辣椒 其他,63.1,40.0,40.0,44.6,26.0
2018-10-1,花蓮市,番茄 牛蕃茄,63.8,39.2,20.3,40.3,2802.0
2018-10-1,花蓮市,苦瓜 翠綠,70.0,54.1,29.6,52.4,6416.0
2018-10-1,花蓮市,苦瓜 山苦瓜,70.0,70.0,70.0,70.0,6.5
2018-10-1,花蓮市,苦瓜 白大米,73.1,59.6,33.5,57.1,2081.0
2018-10-1,花蓮市,辣椒 雞心,80.0,80.0,57.1,75.4,29.5
2018-10-1,花蓮市,辣椒 青小,105.0,82.3,51.5,80.7,64.0
2018-10-1,花蓮市,薑 老薑,109.5,79.8,44.2,78.6,746.0
2018-10-1,花蓮市,敏豆 粉豆,110.0,100.2,57.5,93.6,7562.0
2018-10-1,花蓮市,甜椒 青椒,117.7,87.2,48.6,85.6,594.0
2018-10-1,花蓮市,辣椒 青龍,120.0,106.2,100.0,107.7,47.0
2018-10-1,花蓮市,辣椒 紅小,120.0,102.3,55.4,96.5,79.5
2018-10-1,花蓮市,敏豆 白豆,127.2,87.1,33.0,84.3,361.0
2018-10-1,溪湖鎮,芽菜類 綠豆芽,13.0,13.0,13.0,13.0,436.0
2018-10-1,溪湖鎮,冬瓜 白皮,16.4,11.4,7.7,11.7,4802.0
2018-10-1,溪湖鎮,甘薯 其他,17.4,11.6,7.2,11.9,4210.0
2018-10-1,溪湖鎮,蘿蔔 矸仔 未洗,18.2,14.5,10.7,14.5,4325.0
2018-10-1,溪湖鎮,包心白 包白,20.0,16.6,10.2,16.0,236.0
2018-10-1,溪湖鎮,扁蒲 花蒲,21.7,15.1,10.9,15.6,1765.0
2018-10-1,溪湖鎮,玉米 其他,23.3,23.3,23.3,23.3,240.0
2018-10-1,溪湖鎮,南瓜 木瓜形,24.6,16.1,11.1,16.8,1825.0
2018-10-1,溪湖鎮,洋蔥 本產,25.8,22.0,14.0,21.2,3200.0
2018-10-1,溪湖鎮,小白菜 土白菜,30.0,21.3,15.0,21.8,260.0
2018-10-1,溪湖鎮,胡蘿蔔 清洗,30.0,26.0,20.0,25.6,2500.0
2018-10-1,溪湖鎮,蕹菜 小葉,30.0,20.5,13.0,20.2,528.0
2018-10-1,溪湖鎮,油菜,32.0,21.7,15.0,22.4,250.0
2018-10-1,溪湖鎮,青江白菜 小梗,37.0,25.3,17.0,26.0,2974.0
2018-10-1,溪湖鎮,絲瓜,37.0,25.1,14.3,25.3,240.0
2018-10-1,溪湖鎮,芥藍菜,38.0,24.9,17.0,26.0,210.0
2018-10-1,溪湖鎮,芥菜 小芥菜,39.0,25.3,17.0,26.4,160.0
2018-10-1,溪湖鎮,甘藍 初秋,41.0,24.5,18.0,26.5,7900.0
2018-10-1,溪湖鎮,花椰菜 青梗,47.0,42.4,36.3,42.0,18782.0
2018-10-1,溪湖鎮,萵苣菜 本島圓葉,57.0,37.5,25.0,38.9,100.0
2018-10-1,溪湖鎮,花胡瓜,58.7,45.2,37.0,46.2,346.0
2018-10-1,溪湖鎮,茄子 麻荸茄,59.3,37.4,25.0,39.3,1223.0
2018-10-1,溪湖鎮,莧菜 白莧菜,60.0,40.0,25.0,39.5,153.0
2018-10-1,溪湖鎮,菜豆 青色,71.2,67.9,66.7,68.3,187.0
2018-10-1,溪湖鎮,青蔥 粉蔥,73.6,66.4,60.0,66.6,459.0
2018-10-1,溪湖鎮,苦瓜 白大米,77.3,59.8,37.4,58.8,1917.0
2018-10-1,溪湖鎮,菜豆 白色,90.0,85.5,71.6,83.6,133.0
2018-10-1,溪湖鎮,韭菜 韭菜花,118.8,110.0,110.0,111.8,659.0
2018-10-2,三重區,石蓮花,7.0,7.0,7.0,7.0,60.0
2018-10-2,三重區,秀珍菇 盒裝,8.0,8.0,8.0,8.0,300.0
2018-10-2,三重區,金絲菇 盒裝,8.0,8.0,8.0,8.0,80.0
2018-10-2,三重區,馬鈴薯 進口,8.0,8.0,8.0,8.0,120.0
2018-10-2,三重區,玉米 糯米黑,8.0,8.0,8.0,8.0,42.0
2018-10-2,三重區,珊瑚菇 盒裝,9.0,9.0,9.0,9.0,120.0
2018-10-2,三重區,玉米 超甜白,10.0,7.4,5.0,7.5,46.0
2018-10-2,三重區,豆薯,12.0,12.0,12.0,12.0,2680.0
2018-10-2,三重區,甘薯 臺農57號,12.0,11.4,10.0,11.3,360.0
2018-10-2,三重區,甘藍 進口,12.0,12.0,12.0,12.0,80.0
2018-10-2,三重區,蘿蔔 矸仔,12.0,11.0,10.0,11.0,130.0
2018-10-2,三重區,甘薯 臺農66號,12.1,9.5,6.1,9.3,3575.0
2018-10-2,三重區,敏豆 翼豆,13.0,11.1,10.0,11.3,708.0
2018-10-2,三重區,隼人瓜,15.0,13.2,13.0,13.5,72.0
2018-10-2,三重區,甘薯 其他,15.0,15.0,15.0,15.0,66.0
2018-10-2,三重區,絲瓜 其他,15.0,15.0,12.9,14.6,387.0
2018-10-2,三重區,冬瓜 白皮,15.2,10.3,8.0,10.8,354.0
2018-10-2,三重區,扁蒲 梨子蒲,18.0,12.1,8.5,12.6,453.0
2018-10-2,三重區,扁蒲 花蒲,18.3,12.1,9.1,12.8,5470.0
2018-10-2,三重區,玉米 甜軟殼,19.8,12.0,6.3,12.4,1978.0
2018-10-2,三重區,隼人瓜 瓜苗,20.0,20.0,20.0,20.0,1760.0
2018-10-2,三重區,落花生 生,20.0,20.0,20.0,20.0,130.0
2018-10-2,三重區,萵苣菜 本島圓葉,20.0,20.0,20.0,20.0,150.0
2018-10-2,三重區,蘿蔔 進口,20.1,14.2,14.0,15.4,23988.0
2018-10-2,三重區,越瓜 青色,21.0,18.6,10.0,17.3,120.0
2018-10-2,三重區,南瓜 東昇,22.0,20.1,13.8,19.2,340.0
