5557,雲林縣,文蛤,103,2150109.44
12520,高雄市,秋刀魚,97,2141524.975
6298,嘉義縣,牡蠣,103,2140444.8
15569,國外基地,秋刀魚,101,2139760.675
14179,臺南市,文蛤,103,2134941.53
7794,屏東縣,羅氏沼蝦,100,2125792.589
4987,雲林縣,日本鰻鱺,95,2117953.019
6296,嘉義縣,牡蠣,101,2104248.0
13693,臺南市,虱目魚,100,2083957.191
5554,雲林縣,文蛤,100,2058740.812
12551,高雄市,魷魚,95,2048862.88
4062,彰化縣,日本鰻鱺,94,2037888.0
14459,高雄市,鱠,102,2036904.69
15410,國外基地,劍旗魚,92,2008858.089
7793,屏東縣,羅氏沼蝦,99,2008167.372
7797,屏東縣,羅氏沼蝦,103,2002190.013
15573,國外基地,秋刀魚,105,2001706.947
14804,高雄市,秋刀魚,103,2001496.824
12548,高雄市,魷魚,92,1980135.626
7090,屏東縣,鱠,98,1977656.331
7085,屏東縣,鱠,93,1949266.097
15411,國外基地,劍旗魚,93,1938937.391
14862,高雄市,魷魚,100,1925597.543
7798,屏東縣,羅氏沼蝦,104,1917406.35
7078,屏東縣,點帶石斑,105,1912446.177
264,新北市,鎖管,93,1910106.209
13697,臺南市,虱目魚,104,1902519.609
14182,臺南市,文蛤,106,1878954.332
14171,臺南市,牡蠣,102,1865303.228
7800,屏東縣,羅氏沼蝦,106,1847051.944
7799,屏東縣,羅氏沼蝦,105,1842605.005
4061,彰化縣,日本鰻鱺,93,1828582.0
15412,國外基地,劍旗魚,94,1822655.734
14802,高雄市,秋刀魚,101,1789868.4
5696,嘉義縣,日本鰻鱺,99,1788337.759
14295,高雄市,虱目魚,102,1784093.595
4989,雲林縣,日本鰻鱺,97,1771616.96
5555,雲林縣,文蛤,101,1764498.996
12524,高雄市,其他海水魚類,92,1762989.587
4997,雲林縣,日本鰻鱺,105,1730003.13
13698,臺南市,虱目魚,105,1729318.764
12521,高雄市,秋刀魚,98,1727437.5
14803,高雄市,秋刀魚,102,1710157.314
4985,雲林縣,日本鰻鱺,93,1706489.501
14857,高雄市,阿根廷魷,106,1695978.581
12115,高雄市,虱目魚,93,1691035.117
9953,澎湖縣,其他鯛,94,1682995.0
5551,雲林縣,文蛤,97,1674330.54
14181,臺南市,文蛤,105,1672184.25
4068,彰化縣,日本鰻鱺,100,1661750.0
5543,雲林縣,牡蠣,104,1647844.0
5552,雲林縣,文蛤,98,1641370.96
9951,澎湖縣,其他鯛,92,1633387.2
7084,屏東縣,鱠,92,1625509.67
14294,高雄市,虱目魚,101,1618962.185
7091,屏東縣,鱠,99,1593721.982
14458,高雄市,鱠,101,1587048.928
6300,嘉義縣,牡蠣,105,1578166.03
5697,嘉義縣,日本鰻鱺,100,1562357.817
15413,國外基地,劍旗魚,95,1554759.827
4996,雲林縣,日本鰻鱺,104,1554512.2
1373,宜蘭縣,其他海水魚類,97,1548631.77
14457,高雄市,鱠,100,1544405.476
4060,彰化縣,日本鰻鱺,92,1537274.2
6599,高雄市,虱目魚,98,1527988.758
14293,高雄市,虱目魚,100,1525655.123
13631,臺南市,日本鰻鱺,100,1522887.0
15419,國外基地,劍旗魚,101,1489977.285
14805,高雄市,秋刀魚,104,1484189.762
5736,嘉義縣,鱸魚,102,1482718.71
4067,彰化縣,日本鰻鱺,99,1474480.0
13599,臺南市,吳郭魚類,103,1473335.669
15574,國外基地,秋刀魚,106,1450720.1
6598,高雄市,虱目魚,97,1450199.893
6295,嘉義縣,牡蠣,100,1445372.73
5541,雲林縣,牡蠣,102,1435125.0
13598,臺南市,吳郭魚類,102,1429656.545
12554,高雄市,魷魚,98,1428126.225
9952,澎湖縣,其他鯛,93,1422520.0
12522,高雄市,秋刀魚,99,1418578.4
15423,國外基地,劍旗魚,105,1413512.434
15414,國外基地,劍旗魚,96,1410653.619
10677,基隆市,花腹鯖,104,1383970.682
