143,莉塔屋民宿,0224968091,,224新北市瑞芳區汽車路35號,25.109963,121.844152,1800,4000,5
147,美術行館民宿,0226363466,0226360051,252新北市三芝區茂長里芝柏路38號,25.25847621,121.51018687,2000,4000,3
152,一間屋民宿,0224992161,,228新北市貢寮區福隆街2巷1之2號,25.015929,121.945238,2000,4000,5
153,允誠民宿,0920365366,,224新北市瑞芳區烏勢巷60之1號,25.108914,121.845868,1200,2200,3
154,幸福民宿,0224931962,0224934757,227新北市雙溪區太平路77號,25.035412,121.864597,2400,3600,2
161,和昇石門旗艦民宿,0226382233,0226382323,253新北市石門區石門里中央路1之25號,25.291063,121.560094,5000,8600,5
165,淡築憩水,0975377155,,251新北市淡水區幸福里仁愛街1巷22號1至3樓,25.171655,121.44602,1600,2800,4
168,三芝小白屋花園民宿,0286352326,,252新北市三芝區芝柏路35號,25.255916,121.511651,8800,16800,3
170,山水綠境,0224933638,0224931165,227新北市雙溪區內平林6之1號,25.030759,121.833953,2500,6000,4
174,香泉會館民宿,0224080851,0224080841,208新北市金山區名流路60號,25.207048,121.599802,5000,10000,5
175,山城別館民宿,0224080860,0224080841,208新北市金山區名流路62號,25.207062,121.599676,5000,10000,5
180,日月民宿,0226617705,,233新北市烏來區烏來里烏來街85巷1號,24.863972,121.551973,3600,6000,4
181,十分旅人民宿,0224958000,0224958111,226新北市平溪區十分街170號,25.042881,121.777385,4000,6400,3
183,九份山城山海灣民宿,0936361406,0224269654,224新北市瑞芳區街頂巷22號,25.108062,121.844559,1700,3100,3
185,背包客休息棧民宿,0224976029,,224新北市瑞芳區海濱路51號,25.12377,121.831212,1000,3000,5
186,小角落民宿,0938460100,,224新北市瑞芳區坑尾巷1號,25.112006,121.844194,2500,8000,5
189,海霞您的家,0935204895,,228新北市貢寮區仁愛路38號,25.053227,121.925062,1580,4580,5
193,晴悅民宿,0224976408,0227322309,224新北市瑞芳區基山街31巷27號,25.112026,121.847724,1500,3000,4
194,回家小旅店民宿,0915819855,,224新北市瑞芳區基山街194號,25.108645,121.843357,2500,5000,3
196,車頭頂民宿,0229051670,,226新北市平溪區十分街27號,25.0409498,121.7724193,2500,4000,2
197,魚旅,0910071926,,239新北市鶯歌區文化路171號,24.954189,121.355601,2400,8000,3
198,雙溪藝術的家~自然山舍民宿,0224930000,0224933000,227新北市雙溪區四分子3之1號,25.019993,121.801622,2800,4600,5
202,張醫師的家民宿,0227227768,,208新北市金山區中信南路2巷11號,25.201803,121.596529,2000,4000,3
206,安逸民宿,0224960967,,224新北市瑞芳區輕便路117號,25.10915,121.844341,1800,3100,5
209,九份臥客棧民宿,0905188676,,224新北市瑞芳區石埤巷41號,25.1082868,121.8394116,4000,8000,5
211,夾腳拖的家山居民宿,0905570688,,224新北市瑞芳區基山街247號,25.107135,121.841235,1800,3500,3
212,回鄉民宿,0224961598,0223958687,224新北市瑞芳區洞頂路8號之1,25.121684,121.862046,1600,8000,5
218,南瓜大叔民宿,0286353450,,252新北市三芝區迎旭街38號,25.256907,121.51059,2000,4000,3
224,自由空間青年民宿,0939788892,,224新北市瑞芳區中正路77號(第2層),25.107555,121.805464,650,16000,1
228,金色小棧民宿,0224973577,0224968289,224新北市瑞芳區中正路22之2號,25.10716,121.808258,3600,9000,3
232,九份山城逸境民宿,0920231712,,224新北市瑞芳區基山街195號,25.107882,121.842983,5200,8200,2
235,幸福山行民宿,0224952748,,226新北市平溪區靜安路2段274巷10號,25.022311,121.72826,5600,10000,4
239,淡水嶘民宿,0966553931,,251新北市淡水區長興街31號,25.171224,121.443942,2200,5800,4
240,海洋之家民宿,0224927690,0224921378,207新北市萬里區港東路9號,25.203349,121.68674,3000,6600,4
241,北海道民宿,0963309522,,226新北市平溪區白石腳1號,25.021997,121.72181,1500,3000,3
251,未央居景觀民宿,0932684356,,224新北市瑞芳區輕便路1之1號,25.111644,121.84693,6000,9000,3
252,雲頂民宿,0226617755,0226616971,233新北市烏來區西羅岸路45號,24.863823,121.546476,2000,3000,2
253,台北yes民宿,0909943968,,251新北市淡水區長興街24號,25.171112,121.443968,2000,6000,3
254,九份故事樓民宿,0224973628,0224973938,224新北市瑞芳區汽車路93之2號3樓,25.109387,121.842727,1000,12000,2
255,金礦晶民宿,0933202973,,224新北市瑞芳區金光路34之1號,25.108194,121.85666,3000,5000,5
256,皇宮民宿,0224952021,,226新北市平溪區白石腳5號,25.0216117,121.719621,3200,4800,2
258,十三層民宿,0928511389,,224新北市瑞芳區長仁路36之2號,25.117792,121.865647,4000,8000,4
259,旅行邦尼,0226218707,0226218702,251新北市淡水區中山路87巷7號,25.170282,121.442423,1800,5400,5
260,魚礁十五號民宿,0933929603,,224新北市瑞芳區建基路2段15號2樓,25.133008,121.807319,0,10000,3
261,十分佳璟民宿,0909878698,,226新北市平溪區十分街58巷14號,25.042548,121.775027,0,2700,2
