魚類鯙科, 筆數: 178
魚類鯽魚, 筆數: 134
魚類鱉, 筆數: 87
魚類鱉蛋, 筆數: 23
魚類鱘, 筆數: 9
魚類鱙仔, 筆數: 111
魚類鱠, 筆數: 170
魚類鱵科, 筆數: 29
魚類鱷魚, 筆數: 45
魚類鱸魚, 筆數: 148
魚類鳳螺, 筆數: 65
魚類鸚哥魚科, 筆數: 92
魚類黃線狹鱈, 筆數: 3
魚類黃背牙鯛, 筆數: 166
魚類黃鰭棘鯛, 筆數: 33
魚類黃鰭鮪, 筆數: 98
魚類黑(魚或), 筆數: 155
魚類黑棘鯛, 筆數: 233
魚類黑皮旗魚, 筆數: 99
魚類點帶石斑, 筆數: 34
魚類龍占魚科, 筆數: 98
魚類龍蝦科, 筆數: 74
魚類龍鬚菜, 筆數: 77
